Date,Quantity
2022-01-08,7227.58
2022-01-15,7383.82
2022-01-22,7220.51
2022-01-29,7052.25
2022-02-07,7349.32
2022-02-14,7480.52
2022-02-19,7675.29
2022-02-26,7583.09
2022-03-04,7674.15
2022-03-11,7611.81
2022-03-18,7467.37
2022-03-25,7438.93
2022-04-01,7436.36
2022-04-08,7407.1
2022-04-15,7128.2
2022-04-22,6987.5
2022-04-29,6874.7
2022-05-06,6747.32
2022-05-15,6497.7
2022-05-20,6309.2
2022-05-29,6217.1
2022-06-05,6158.63
2022-06-12,6016.33
2022-06-17,5912.47
2022-06-26,5840.62
2022-07-03,5940.49
2022-07-11,5990.28
2022-07-17,6102.58
2022-07-24,6161.95
2022-07-31,6207.55
2022-08-08,6452.83
2022-08-15,6442.77
2022-08-22,6522.94
2022-08-29,6433.65
2022-09-05,6524.43
2022-09-14,6408.11
2022-09-21,6277.68
2022-09-25,5908.68
2022-09-30,5806.4
2022-10-12,5889.56
2022-10-19,5813.82
2022-10-26,5767.45
2022-11-02,5707.15
2022-11-09,5898.48
2022-11-16,5907.07
2022-11-21,6075.45
2022-11-28,6081.05
2022-12-05,6072.89
2022-12-12,6136.4
2022-12-19,6263.51
2022-12-26,6282.58
2022-12-31,6182.9
2023-01-06,6104.46
2023-01-13,6176.43
2023-01-20,6094.43
2023-01-26,6426.6
2023-02-06,6468.26
2023-02-13,6587.04
2023-02-19,6618.71
2023-02-26,6608.03
2023-03-04,6563.98
2023-03-11,6480.02
2023-03-18,6477.81
2023-03-25,6420.49
2023-04-01,6376.66
2023-04-08,6227.56
2023-04-15,6149.07
2023-04-22,6177.64
2023-04-29,6121.12
2023-05-06,5970.43
2023-05-15,5816.23
2023-05-20,5887.09
2023-05-29,5877.95
2023-06-05,5835.22
2023-06-12,5707.78
2023-06-17,5815.85
2023-06-26,5801.18
2023-07-03,5794.29
2023-07-11,5724.56
2023-07-17,5589.32
2023-07-24,5723.51
2023-07-31,5636.49
2023-08-08,5450.38
2023-08-15,5314.78
2023-08-22,5392.75
2023-08-29,5294.27
2023-09-05,5270.8
2023-09-14,5052.46
2023-09-21,5042.03
2023-09-25,4858.83
2023-09-30,4753.84
2023-10-12,4514.6
2023-10-19,4719.05
2023-11-02,4712.8
2023-11-09,4827.03
2023-11-16,4814.75
2023-11-21,4830.87
2023-11-28,4864.47
2023-12-05,4941.55
2023-12-12,5133.27
