QUOTEDATE,SpotDZYangDiPowder,SpotDZPB_Powder,SpotDZJinBubaPowder,SpotDZKaraLaraFinePowder,SpotDZKaraJagasPowder,SpotDZBaMixBRBF,SpotDZUltraSpecialPowder,PusiIndex62USD,SpotDiscountPort,BaseDZYangDiPowder,BaseDZUltraSpecialPowder,BaseDZPB_Powder,BaseDZJinBubaPowder,SwapJan,SwapMay,SwapSep,ImportProfitJan,ImportProfitMay,ImportProfitSep,RebarMineRatioSpot,RebarMineRatioJan,RebarMineRatioMay,RebarMineRatioOct,date
2022-05-30,962.0,971.0,845.0,1278.0,1167.0,1069.0,771.0,136.6,1073.0,283.0,98.0,157.0,117.0,130.58,125.4,121.08,-154.33,-177.39,-171.99,4.64,5.26,5.57,5.65,2023-11-16
2022-05-31,970.0,976.0,857.0,1291.0,1173.0,1079.0,781.0,136.5,1065.0,277.0,95.0,148.0,115.0,130.27,125.12,120.73,-132.48,-160.96,-156.7,4.61,5.25,5.58,5.67,2023-11-16
2022-06-01,974.0,978.0,863.0,1285.0,1178.0,1078.0,790.0,136.55,1066.0,268.0,91.0,137.0,108.0,130.4,125.11,120.61,-113.97,-139.15,-139.78,4.62,5.2,5.52,5.64,2023-11-16
2022-06-02,979.0,995.0,884.0,1296.0,1178.0,1095.0,805.0,143.65,1127.0,244.0,78.0,126.0,101.0,137.21,131.31,127.42,-135.91,-156.47,-164.17,4.54,5.12,5.42,5.53,2023-11-16
2022-06-06,976.0,990.0,881.0,1298.0,1175.0,1090.0,810.0,146.75,1144.0,251.0,94.0,131.0,108.0,139.52,134.04,129.69,-170.8,-191.76,-195.78,4.61,5.14,5.43,5.56,2023-11-16
2022-06-07,976.0,997.0,885.0,1298.0,1183.0,1097.0,818.0,147.25,1147.0,247.0,99.0,135.0,109.0,140.68,135.37,130.82,-169.68,-192.16,-190.87,4.55,5.08,5.37,5.47,2023-11-16
2022-06-08,976.0,990.0,885.0,1295.0,1177.0,1093.0,818.0,146.9,1144.0,249.0,101.0,129.0,111.0,142.38,136.31,133.0,-185.57,-201.87,-209.44,4.58,5.18,5.47,5.6,2023-11-16
2022-06-09,975.0,988.0,890.0,1295.0,1172.0,1088.0,830.0,143.85,1124.0,250.0,116.0,129.0,119.0,139.42,134.59,130.11,-176.07,-209.11,-205.28,4.6,5.19,5.46,5.57,2023-11-16
2022-06-10,969.0,975.0,876.0,1291.0,1160.0,1075.0,820.0,141.55,1110.0,254.0,115.0,125.0,113.0,,,,,,,4.65,5.24,5.59,5.68,2023-11-16
2022-06-13,950.0,967.0,873.0,1275.0,1150.0,1067.0,815.0,,,244.0,121.0,127.0,121.0,,,,,,,4.65,5.19,5.62,5.72,2023-11-16
