Date,Quantity
2021/11/22,289.75
2021/11/29,281.41
2021/12/6,276.09
2021/12/13,279.72
2021/12/20,286.13
2021/12/27,298.22
2021/12/31,294.06
2022/1/8,317.65
2022/1/15,312.17
2022/1/22,328.12
2022/1/29,324.59
2022/2/7,247.38
2022/2/19,247.88
2022/2/28,255.36
2022/3/7,293.79
2022/3/14,297.85
2022/3/21,276.25
2022/3/28,272.44
2022/4/4,264.21
2022/4/11,269.19
2022/4/18,301.5
2022/4/25,300.36
2022/5/1,308.25
2022/5/6,297.77
2022/5/9,315.66
2022/5/16,321.3
2022/5/23,330.7
2022/5/30,318.04
2022/6/6,323.42
2022/6/13,318.59
2022/6/17,306.24
2022/6/24,294.55
2022/7/3,283.13
2022/7/11,288.75
2022/7/18,274.29
2022/7/25,260.71
2022/8/1,259.84
2022/8/8,268.04
2022/8/15,272.85
2022/8/22,278.22
2022/8/29,283.09
2022/9/5,287.16
2022/9/12,298.55
2022/9/19,279.78
2022/9/26,315.14
2022/9/30,331.72
2022/10/11,304.84
2022/10/18,314.07
2022/10/25,298.72
2022/11/1,309.94
2022/11/8,287.62
2022/11/15,295.02
2022/11/22,292.62
2022/11/29,283.84
2022/12/6,299.57
2022/12/13,303.25
2022/12/20,310.05
2022/12/27,304.37
2022/12/31,291.88
2023/1/8,311.96
2023/1/15,327.48
2023/1/22,324.56
2023/1/29,250.83
2023/2/7,263.67
2023/2/19,305.5
2023/2/28,314.4
2023/3/7,319.29
2023/3/14,321.77
2023/3/21,310.8
2023/3/28,303.31
2023/4/4,303.34
2023/4/11,315.85
2023/4/18,323.28
2023/4/25,319.23
2023/5/1,320.18
2023/5/6,324.16
2023/5/9,303.16
2023/5/16,297.52
2023/5/23,286.91
2023/5/30,291.71
2023/6/6,290.99
2023/6/13,300.84
2023/6/17,296.17
2023/6/24,303.82
2023/7/3,308.31
2023/7/11,313.42
2023/7/18,315.8
2023/7/25,313.85
2023/8/1,313.73
2023/8/8,300.75
2023/8/15,316.85
2023/8/22,326.72
2023/8/29,328.19
2023/9/5,311.6
2023/9/12,312.41
2023/9/19,323.79
2023/9/26,339.13
2023/9/30,343
2023/10/11,323.09
2023/10/18,310.25
2023/11/1,293.85
2023/11/8,296.12
2023/11/15,302.59
2023/11/22,302.44
2023/11/29,301.54
2023/12/6,305.78
2023/12/13,299.06
